index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
1,389214045.0,Female,25-34,High,"[""Children over 18 years old""]",4.0,"[""Stay hydrated""]","[""To make the most out of/enjoy life""]","[""None of the above""]","[""Eating out at places that have healthy options available""]",3+ times a week,"[""Running"", ""Yoga/Pilates""]","[""Have a bath"", ""Have a malted milk drink""]","[""Browsing on my cell phone / tablet"", ""Caffeine"", ""Watching TV"", ""Alcohol""]"
3,0.0,Female,45+,High,"[""Partner / spouse""]",1,"[""Drink lots of water / fluids"", ""Eat healthily"", ""Stay hydrated"", ""Other""]","[""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar"", ""Low / zero carb""]","[""Intermittent fasting""]",Never,,"[""Have herbal tea"", ""Have a bath""]","[""Caffeine"", ""Heavy meal"", ""Other""]"
4,2647339060.0,Male,25-34,High,"[""Parents"", ""Other family members""]",4.0,"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Stay hydrated""]","[""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life"", ""To improve my sleep""]","[""Low sugar"", ""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables"", ""Checking nutritional value of the food / drink I purchase"", ""Eating out / ordering takeout less frequently"", ""Checking / reading the ingredients in food / drink products"", ""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Walking"", ""Cycling"", ""Hiking""]","[""Have warm milk"", ""Other""]","[""Heavy meal"", ""Caffeine""]"
5,951222664.0,Female,45+,High,"[""Partner / spouse""]",3.0,"[""Eat healthily"", ""Exercise regularly"", ""Make sure I get enough sleep""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""To live longer""]","[""Low salt""]","[""Cooking more meals at home""]",Twice a week,"[""Hiking""]","[""No, none of these""]","[""Caffeine""]"
6,1056649824.0,Male,35-44,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",5+,"[""Make sure I get enough sleep"", ""Taking time to relax""]","[""To make the most out of/enjoy life"", ""To improve my sleep"", ""To live longer""]","[""None of the above""]","[""Cooking more meals at home""]",Never,,"[""No, none of these""]","[""Caffeine""]"
7,2771744552.0,Female,25-34,Medium,"[""Friends / Roommates"", ""Other family members""]",4.0,"[""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Exercise regularly"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To manage a health / medical condition""]","[""Low calorie"", ""Vegetarian: eat no meat or fish"", ""Low cholesterol"", ""Low sugar"", ""High protein""]","[""Intermittent fasting"", ""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Eating out at places that have healthy options available""]",3+ times a week,"[""Cycling"", ""Running"", ""Yoga/Pilates""]","[""No, none of these""]","[""Alcohol"", ""Heavy meal"", ""Caffeine""]"
8,3427770026.0,Female,45+,High,"[""Other family members""]",5+,"[""Eat healthily""]","[""To set a good example for my family"", ""To improve my sleep"", ""To lose / manage my weight""]","[""Low sugar""]","[""Snacking less often""]",Twice a week,"[""Cycling"", ""Cardio / Aerobics / Water aerobics""]","[""Have a bath""]","[""Heavy meal""]"
9,1136589453.0,Female,45+,High,"[""Partner / spouse"", ""Children over 18 years old""]",4.0,"[""Meditation / positive mindset methods"", ""Eat healthily"", ""Stay hydrated"", ""Exercise regularly""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar""]","[""Cooking more meals at home"", ""Snacking less often"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Yoga/Pilates""]","[""No, none of these""]","[""Heavy meal""]"
10,504021840.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Drink lots of water / fluids""]","[""To lose / manage my weight""]","[""None of the above""]","[""Snacking less often""]",Once a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
14,1202453700.0,Male,18-24,High,"[""I live alone""]",1,"[""Drink lots of water / fluids"", ""Eat healthily"", ""Taking time to relax""]","[""Specific event (e.g. holiday, wedding)"", ""Feeling good about myself"", ""Have more energy""]","[""None of the above""]","[""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",Once a week,"[""Other""]","[""No, none of these""]","[""No, none of these""]"
16,1433014420.0,Male,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Take vitamin / other supplements"", ""Exercise regularly""]","[""Have more energy"", ""To set a good example for my family"", ""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Twice a week,"[""Cycling"", ""Hiking"", ""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Alcohol"", ""Caffeine""]"
18,5380047974.0,Male,25-34,Low,"[""Partner / spouse""]",5+,"[""Taking time to relax"", ""Stress control methods"", ""Eat healthily"", ""Stay hydrated""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""Have more energy""]","[""Pescatarian: eat no meat"", ""Low sugar"", ""Halal""]","[""Checking nutritional value of the food / drink I purchase"", ""Shopping at places that have a wide selection of healthy options"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions""]",Once a week,"[""Hiking"", ""Running"", ""Walking""]","[""Have herbal tea""]","[""Alcohol""]"
19,875862950.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""None of the above""]","[""Cooking more meals at home"", ""Eating dessert less often""]",Never,,"[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
20,5231207952.0,Female,25-34,Medium,"[""I live alone""]",1,"[""Take vitamin / other supplements"", ""Exercise regularly"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""Prevent health conditions in later life"", ""To live longer"", ""Feeling good about myself""]","[""Low sugar"", ""Low calorie""]","[""Watching the size of my portions"", ""Snacking less often""]",Once a week,"[""Cardio / Aerobics / Water aerobics""]","[""Have a bath""]","[""Caffeine"", ""Browsing on my cell phone / tablet"", ""Heavy meal""]"
22,1353423584.0,Female,45+,Medium,"[""I live alone""]",1,"[""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To lose / manage my weight"", ""Have more energy"", ""Prevent health conditions in later life""]","[""Halal"", ""Low calorie""]","[""Cooking more meals at home"", ""Snacking less often"", ""Making an effort to find healthy recipes""]",Few times a month,"[""Swimming"", ""Walking""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
23,263860770.0,Female,18-24,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Eat healthily"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Meditation / positive mindset methods"", ""Take vitamin / other supplements""]","[""Have more energy"", ""Prevent health conditions in later life"", ""To live longer""]","[""Low salt"", ""Low sugar"", ""Low calorie"", ""Low cholesterol"", ""Dairy free"", ""High protein""]","[""Checking nutritional value of the food / drink I purchase"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Trying to have a variety of colors on my plate"", ""Snacking less often""]",3+ times a week,"[""Spinning"", ""Running"", ""Swimming"", ""Cardio / Aerobics / Water aerobics"", ""Yoga/Pilates""]","[""Have herbal tea"", ""Meditate"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Alcohol"", ""Caffeine"", ""Heavy meal""]"
